year,GEOID,tot_units,tot_vac_units,pct_vac,tot_occ_units,renter_occ_units,pct_rent,tot_pop_rou,med_hh_inc_rou,med_hh_inc_rou_2020_adj,med_yr_blt_rou,med_yr_moved_in_rou,med_gross_rent,med_gross_rent_2020_adj,med_rent_burden,tot_college_degree_rou,pct_college_deg_rou,tot_wh_rou,pct_wh_rou,tot_bl_rou,pct_bl_rou,tot_asn_rou,pct_asn_rou,tot_ltx_rou,pct_ltx_rou,tot_hh,tot_hh_pov,pct_pov
2012,10017,12860,2749,0.27,10111,6656,0.66,10197,97290,109671,1952,2005,2001,2256,25.4,5211,0.78,4699,0.71,170,0.03,1174,0.18,506,0.08,10111,638,0.06
2013,10017,12768,2860,0.29,9908,6582,0.66,10318,93596,103983,1953,2006,2001,2223,26.7,5221,0.79,4501,0.68,133,0.02,1289,0.2,557,0.08,9908,683,0.07
2014,10017,12884,2767,0.27,10117,6773,0.67,10534,94852,103697,1954,2008,2001,2188,26.8,5498,0.81,4387,0.65,205,0.03,1561,0.23,486,0.07,10117,717,0.07
2015,10017,12845,2688,0.26,10157,6417,0.63,10085,101155,110456,1955,2010,2218,2422,27.2,5367,0.84,4213,0.66,178,0.03,1466,0.23,426,0.07,10157,773,0.08
2016,10017,12876,2742,0.27,10134,6176,0.61,10028,101671,109637,1956,2011,2214,2387,26.5,5103,0.83,4059,0.66,235,0.04,1394,0.23,385,0.06,10134,603,0.06
2017,10017,12720,2644,0.26,10076,5657,0.56,9017,104688,110536,1958,2011,2242,2367,27,4624,0.82,3861,0.68,114,0.02,1140,0.2,435,0.08,10076,598,0.06
2018,10017,12650,2745,0.28,9905,5585,0.56,8555,109965,113339,1961,2012,2309,2380,27.3,4606,0.82,3905,0.7,119,0.02,941,0.17,435,0.08,9905,523,0.05
2019,10017,12593,2930,0.3,9663,5576,0.58,8740,126691,128254,1962,2013,2485,2516,26.9,4624,0.83,4097,0.73,85,0.02,840,0.15,400,0.07,9663,461,0.05
2020,10017,12880,3022,0.31,9858,6301,0.64,9815,116490,116490,1961,2015,2370,2370,28.5,5260,0.83,4500,0.71,270,0.04,763,0.12,339,0.05,9858,517,0.05
2012,10018,3815,713,0.23,3102,2717,0.88,5137,85490,96369,1995,2008,2001,2256,28.5,1810,0.67,1278,0.47,123,0.05,699,0.26,557,0.21,3102,350,0.11
